"","Gene"
"474","ENSMUSG00000006262"
"475","ENSMUSG00000006273"
"476","ENSMUSG00000006276"
"477","ENSMUSG00000006281"
"478","ENSMUSG00000006288"
"479","ENSMUSG00000006289"
"480","ENSMUSG00000006299"
"481","ENSMUSG00000006301"
"482","ENSMUSG00000006315"
"483","ENSMUSG00000006335"
"484","ENSMUSG00000006369"
"485","ENSMUSG00000006378"
"486","ENSMUSG00000006386"
"487","ENSMUSG00000006390"
"488","ENSMUSG00000006412"
"489","ENSMUSG00000006418"
"490","ENSMUSG00000006442"
"491","ENSMUSG00000006445"
"492","ENSMUSG00000006456"
"493","ENSMUSG00000006463"
"494","ENSMUSG00000006476"
"495","ENSMUSG00000006517"
"496","ENSMUSG00000006519"
"497","ENSMUSG00000006585"
"498","ENSMUSG00000006586"
"499","ENSMUSG00000006589"
"500","ENSMUSG00000006599"
"501","ENSMUSG00000006638"
"502","ENSMUSG00000006641"
"503","ENSMUSG00000006651"
"504","ENSMUSG00000006673"
"505","ENSMUSG00000006676"
"506","ENSMUSG00000006705"
"507","ENSMUSG00000006715"
"508","ENSMUSG00000006717"
"509","ENSMUSG00000006728"
"510","ENSMUSG00000006731"
"511","ENSMUSG00000006732"
"512","ENSMUSG00000006736"
"513","ENSMUSG00000006740"
"514","ENSMUSG00000006763"
"515","ENSMUSG00000006800"
"516","ENSMUSG00000006818"
"517","ENSMUSG00000006906"
"518","ENSMUSG00000006931"
"519","ENSMUSG00000006932"
"520","ENSMUSG00000006941"
"521","ENSMUSG00000006998"
"522","ENSMUSG00000007036"
"523","ENSMUSG00000007039"
"524","ENSMUSG00000007041"
"525","ENSMUSG00000007080"
"526","ENSMUSG00000007338"
"527","ENSMUSG00000007411"
"528","ENSMUSG00000007415"
"529","ENSMUSG00000007458"
"530","ENSMUSG00000007564"
"531","ENSMUSG00000007570"
"532","ENSMUSG00000007589"
"533","ENSMUSG00000007603"
"534","ENSMUSG00000007613"
"535","ENSMUSG00000007646"
"536","ENSMUSG00000007655"
"537","ENSMUSG00000007656"
"538","ENSMUSG00000007659"
"539","ENSMUSG00000007670"
"540","ENSMUSG00000007721"
"541","ENSMUSG00000007739"
"542","ENSMUSG00000007777"
"543","ENSMUSG00000007783"
"544","ENSMUSG00000007805"
"545","ENSMUSG00000007812"
"546","ENSMUSG00000007815"
"547","ENSMUSG00000007817"
"548","ENSMUSG00000007833"
"549","ENSMUSG00000007837"
"550","ENSMUSG00000007850"
"551","ENSMUSG00000007867"
"552","ENSMUSG00000007880"
"553","ENSMUSG00000007888"
"554","ENSMUSG00000007891"
"555","ENSMUSG00000007950"
"556","ENSMUSG00000007987"
"557","ENSMUSG00000008036"
"558","ENSMUSG00000008136"
"559","ENSMUSG00000008140"
"560","ENSMUSG00000008167"
"561","ENSMUSG00000008200"
"562","ENSMUSG00000008206"
"563","ENSMUSG00000008226"
"564","ENSMUSG00000008301"
"565","ENSMUSG00000008318"
"566","ENSMUSG00000008333"
"567","ENSMUSG00000008348"
"568","ENSMUSG00000008373"
"569","ENSMUSG00000008384"
"570","ENSMUSG00000008393"
"571","ENSMUSG00000008398"
"572","ENSMUSG00000008475"
"573","ENSMUSG00000008540"
"574","ENSMUSG00000008575"
"575","ENSMUSG00000008604"
"576","ENSMUSG00000008730"
"577","ENSMUSG00000008734"
"578","ENSMUSG00000008763"
"579","ENSMUSG00000008822"
"580","ENSMUSG00000008855"
"581","ENSMUSG00000008859"
"582","ENSMUSG00000008892"
"583","ENSMUSG00000008958"
"584","ENSMUSG00000008976"
"585","ENSMUSG00000009035"
"586","ENSMUSG00000009073"
"587","ENSMUSG00000009076"
"588","ENSMUSG00000009079"
"589","ENSMUSG00000009090"
"590","ENSMUSG00000009112"
"591","ENSMUSG00000009207"
"592","ENSMUSG00000009291"
"593","ENSMUSG00000009293"
"594","ENSMUSG00000009418"
"595","ENSMUSG00000009470"
"596","ENSMUSG00000009535"
"597","ENSMUSG00000009549"
"598","ENSMUSG00000009555"
"599","ENSMUSG00000009563"
"600","ENSMUSG00000009566"
"601","ENSMUSG00000009569"
"602","ENSMUSG00000009575"
"603","ENSMUSG00000009585"
"604","ENSMUSG00000009614"
"605","ENSMUSG00000009630"
"606","ENSMUSG00000009640"
"607","ENSMUSG00000009647"
"608","ENSMUSG00000009681"
"609","ENSMUSG00000009687"
"610","ENSMUSG00000009741"
"611","ENSMUSG00000009772"
"612","ENSMUSG00000009828"
"613","ENSMUSG00000009863"
"614","ENSMUSG00000009894"
"615","ENSMUSG00000009905"
"616","ENSMUSG00000009907"
"617","ENSMUSG00000010025"
"618","ENSMUSG00000010045"
"619","ENSMUSG00000010047"
"620","ENSMUSG00000010048"
"621","ENSMUSG00000010067"
"622","ENSMUSG00000010095"
"623","ENSMUSG00000010097"
"624","ENSMUSG00000010110"
"625","ENSMUSG00000010277"
"626","ENSMUSG00000010358"
"627","ENSMUSG00000010376"
"628","ENSMUSG00000010392"
"629","ENSMUSG00000010406"
"630","ENSMUSG00000010453"
"631","ENSMUSG00000010476"
"632","ENSMUSG00000010517"
"633","ENSMUSG00000010554"
"634","ENSMUSG00000010607"
"635","ENSMUSG00000010608"
"636","ENSMUSG00000010660"
"637","ENSMUSG00000010663"
"638","ENSMUSG00000010755"
"639","ENSMUSG00000010830"
"640","ENSMUSG00000010911"
"641","ENSMUSG00000010914"
"642","ENSMUSG00000011096"
"643","ENSMUSG00000011114"
"644","ENSMUSG00000011179"
"645","ENSMUSG00000011256"
"646","ENSMUSG00000011257"
"647","ENSMUSG00000011306"
"648","ENSMUSG00000011832"
"649","ENSMUSG00000011837"
"650","ENSMUSG00000011877"
"651","ENSMUSG00000011958"
"652","ENSMUSG00000011960"
"653","ENSMUSG00000012017"
"654","ENSMUSG00000012076"
"655","ENSMUSG00000012114"
"656","ENSMUSG00000012117"
"657","ENSMUSG00000012296"
"658","ENSMUSG00000012422"
"659","ENSMUSG00000012443"
"660","ENSMUSG00000012483"
"661","ENSMUSG00000012535"
"662","ENSMUSG00000012609"
"663","ENSMUSG00000012889"
"664","ENSMUSG00000013033"
"665","ENSMUSG00000013076"
"666","ENSMUSG00000013150"
"667","ENSMUSG00000013155"
"668","ENSMUSG00000013160"
"669","ENSMUSG00000013236"
"670","ENSMUSG00000013275"
"671","ENSMUSG00000013419"
"672","ENSMUSG00000013465"
"673","ENSMUSG00000013495"
"674","ENSMUSG00000013539"
"675","ENSMUSG00000013593"
"676","ENSMUSG00000013622"
"677","ENSMUSG00000013629"
"678","ENSMUSG00000013646"
"679","ENSMUSG00000013662"
"680","ENSMUSG00000013663"
"681","ENSMUSG00000013698"
"682","ENSMUSG00000013736"
"683","ENSMUSG00000013787"
"684","ENSMUSG00000013833"
"685","ENSMUSG00000013858"
"686","ENSMUSG00000013921"
"687","ENSMUSG00000013997"
"688","ENSMUSG00000014075"
"689","ENSMUSG00000014077"
"690","ENSMUSG00000014177"
"691","ENSMUSG00000014195"
"692","ENSMUSG00000014226"
"693","ENSMUSG00000014232"
"694","ENSMUSG00000014243"
"695","ENSMUSG00000014303"
"696","ENSMUSG00000014329"
"697","ENSMUSG00000014349"
"698","ENSMUSG00000014353"
"699","ENSMUSG00000014355"
"700","ENSMUSG00000014402"
"701","ENSMUSG00000014444"
"702","ENSMUSG00000014470"
"703","ENSMUSG00000014496"
"704","ENSMUSG00000014498"
"705","ENSMUSG00000014504"
"706","ENSMUSG00000014547"
"707","ENSMUSG00000014550"
"708","ENSMUSG00000014551"
"709","ENSMUSG00000014554"
"710","ENSMUSG00000014592"
"711","ENSMUSG00000014601"
"712","ENSMUSG00000014602"
"713","ENSMUSG00000014606"
"714","ENSMUSG00000014633"
"715","ENSMUSG00000014668"
"716","ENSMUSG00000014748"
"717","ENSMUSG00000014763"
"718","ENSMUSG00000014776"
"719","ENSMUSG00000014778"
"720","ENSMUSG00000014813"
"721","ENSMUSG00000014856"
"722","ENSMUSG00000014859"
"723","ENSMUSG00000014867"
"724","ENSMUSG00000014873"
"725","ENSMUSG00000014905"
"726","ENSMUSG00000014956"
"727","ENSMUSG00000014959"
"728","ENSMUSG00000014980"
"729","ENSMUSG00000015002"
"730","ENSMUSG00000015013"
"731","ENSMUSG00000015023"
"732","ENSMUSG00000015053"
"733","ENSMUSG00000015087"
"734","ENSMUSG00000015092"
"735","ENSMUSG00000015094"
"736","ENSMUSG00000015095"
"737","ENSMUSG00000015112"
"738","ENSMUSG00000015126"
"739","ENSMUSG00000015133"
"740","ENSMUSG00000015143"
"741","ENSMUSG00000015149"
"742","ENSMUSG00000015165"
"743","ENSMUSG00000015176"
"744","ENSMUSG00000015202"
"745","ENSMUSG00000015222"
"746","ENSMUSG00000015243"
"747","ENSMUSG00000015247"
"748","ENSMUSG00000015305"
"749","ENSMUSG00000015312"
"750","ENSMUSG00000015335"
"751","ENSMUSG00000015341"
"752","ENSMUSG00000015354"
"753","ENSMUSG00000015357"
"754","ENSMUSG00000015461"
"755","ENSMUSG00000015478"
"756","ENSMUSG00000015488"
"757","ENSMUSG00000015501"
"758","ENSMUSG00000015536"
"759","ENSMUSG00000015542"
"760","ENSMUSG00000015568"
"761","ENSMUSG00000015575"
"762","ENSMUSG00000015597"
"763","ENSMUSG00000015605"
"764","ENSMUSG00000015647"
"765","ENSMUSG00000015652"
"766","ENSMUSG00000015653"
"767","ENSMUSG00000015671"
"768","ENSMUSG00000015672"
"769","ENSMUSG00000015697"
"770","ENSMUSG00000015709"
"771","ENSMUSG00000015714"
"772","ENSMUSG00000015733"
"773","ENSMUSG00000015745"
"774","ENSMUSG00000015748"
"775","ENSMUSG00000015749"
"776","ENSMUSG00000015755"
"777","ENSMUSG00000015757"
"778","ENSMUSG00000015766"
"779","ENSMUSG00000015776"
"780","ENSMUSG00000015790"
"781","ENSMUSG00000015804"
"782","ENSMUSG00000015806"
"783","ENSMUSG00000015837"
"784","ENSMUSG00000015839"
"785","ENSMUSG00000015846"
"786","ENSMUSG00000015850"
"787","ENSMUSG00000015869"
"788","ENSMUSG00000015880"
"789","ENSMUSG00000015889"
"790","ENSMUSG00000015937"
"791","ENSMUSG00000015943"
"792","ENSMUSG00000015961"
"793","ENSMUSG00000015971"
"794","ENSMUSG00000015994"
"795","ENSMUSG00000016018"
"796","ENSMUSG00000016128"
"797","ENSMUSG00000016181"
"798","ENSMUSG00000016194"
"799","ENSMUSG00000016206"
"800","ENSMUSG00000016252"
"801","ENSMUSG00000016253"
"802","ENSMUSG00000016256"
"803","ENSMUSG00000016257"
"804","ENSMUSG00000016344"
"805","ENSMUSG00000016481"
"806","ENSMUSG00000016487"
"807","ENSMUSG00000016494"
"808","ENSMUSG00000016495"
"809","ENSMUSG00000016503"
"810","ENSMUSG00000016510"
"811","ENSMUSG00000016528"
"812","ENSMUSG00000016541"
"813","ENSMUSG00000016554"
"814","ENSMUSG00000016619"
"815","ENSMUSG00000016637"
"816","ENSMUSG00000016664"
"817","ENSMUSG00000016757"
"818","ENSMUSG00000016831"
"819","ENSMUSG00000016833"
"820","ENSMUSG00000016918"
"821","ENSMUSG00000016921"
"822","ENSMUSG00000016933"
"823","ENSMUSG00000016940"
"824","ENSMUSG00000016946"
"825","ENSMUSG00000017009"
"826","ENSMUSG00000017119"
"827","ENSMUSG00000017144"
"828","ENSMUSG00000017176"
"829","ENSMUSG00000017188"
"830","ENSMUSG00000017221"
"831","ENSMUSG00000017264"
"832","ENSMUSG00000017286"
"833","ENSMUSG00000017288"
"834","ENSMUSG00000017291"
"835","ENSMUSG00000017299"
"836","ENSMUSG00000017386"
"837","ENSMUSG00000017446"
"838","ENSMUSG00000017466"
"839","ENSMUSG00000017478"
"840","ENSMUSG00000017485"
"841","ENSMUSG00000017499"
"842","ENSMUSG00000017548"
"843","ENSMUSG00000017561"
"844","ENSMUSG00000017615"
"845","ENSMUSG00000017664"
