pos	Md	Mn	gt
111	0.577608233250212	1.12640050202216	ODMSO
112	0.579301843246403	1.12736398393513	ODMSO
113	0.578203119978036	1.12920383496588	ODMSO
114	0.576260172230738	1.13252712045324	ODMSO
115	0.575680541045562	1.13867126941295	ODMSO
116	0.584983216096123	1.14761402154882	ODMSO
117	0.587150474965783	1.15294068365865	ODMSO
118	0.587385167895738	1.16257523397646	ODMSO
119	0.574828469939481	1.17094318724585	ODMSO
120	0.578549564251846	1.1684504710989	ODMSO
121	0.589554973215366	1.16939643448192	ODMSO
122	0.596879906305014	1.1769352562524	ODMSO
123	0.600177585345373	1.18088141011388	ODMSO
124	0.605633745212149	1.19832613419968	ODMSO
125	0.613766511806023	1.20156576522636	ODMSO
126	0.61089504222654	1.21095135402363	ODMSO
127	0.619414046414135	1.22190692553951	ODMSO
128	0.613224924157229	1.22853475278157	ODMSO
129	0.618830869077481	1.23576804830684	ODMSO
130	0.631221253552892	1.23896247678847	ODMSO
131	0.637030594971843	1.25012016345229	ODMSO
132	0.639426255776678	1.25996759789284	ODMSO
133	0.66205156321603	1.27715978182097	ODMSO
134	0.6441906082707	1.27843560820579	ODMSO
135	0.641569142955398	1.28592315781543	ODMSO
136	0.651329084096399	1.30039875847886	ODMSO
137	0.671180737183107	1.3138085580809	ODMSO
138	0.6769482683489	1.33269005913806	ODMSO
139	0.678579161809408	1.34422182128199	ODMSO
140	0.699654533192672	1.36046465512791	ODMSO
141	0.71183853145614	1.37159240134967	ODMSO
142	0.733550382088789	1.39420269671612	ODMSO
143	0.740570002970021	1.41154374958247	ODMSO
144	0.745675181792736	1.42912148879629	ODMSO
145	0.775229381071106	1.45593369781489	ODMSO
146	0.80052969289844	1.47794135480583	ODMSO
147	0.807859564722271	1.49846234267077	ODMSO
148	0.825483867383971	1.51299695702068	ODMSO
149	0.842138942586972	1.53199051895383	ODMSO
150	0.827717439130157	1.53182821392451	ODMSO
151	1.2063569465442	2.02253998550235	ODMSO
152	1.32639246361327	2.28865582548011	ODMSO
153	1.50644573921689	2.51354530181019	ODMSO
154	1.62648125628596	2.6575226978225	ODMSO
155	1.6864990148205	2.76327630495362	ODMSO
156	1.74651677335503	2.84632504896291	ODMSO
157	1.74651677335503	2.89529962989188	ODMSO
158	1.80653453188957	2.91916278964647	ODMSO
159	1.80653453188957	2.93048710721145	ODMSO
160	1.86655229042411	2.9267535685505	ODMSO
161	1.86655229042411	2.92334615224247	ODMSO
162	1.80653453188957	2.90611789552992	ODMSO
163	1.86655229042411	2.89299428222473	ODMSO
164	1.74651677335503	2.85905506632492	ODMSO
165	1.80653453188957	2.82946789699677	ODMSO
166	1.80653453188957	2.79593352263852	ODMSO
167	1.80653453188957	2.75426858065417	ODMSO
168	1.80653453188957	2.70198779380256	ODMSO
169	1.74651677335503	2.65786006577379	ODMSO
170	1.6864990148205	2.62302120200388	ODMSO
171	1.6864990148205	2.59458108371011	ODMSO
172	1.62648125628596	2.55118431957581	ODMSO
173	1.56646349775142	2.51025034148593	ODMSO
174	1.56646349775142	2.47427567228001	ODMSO
175	1.56646349775142	2.44070756112663	ODMSO
176	1.56646349775142	2.40727439715376	ODMSO
177	1.56646349775142	2.37810331496553	ODMSO
178	1.50644573921689	2.3340543061254	ODMSO
179	1.44642798068235	2.30452336478912	ODMSO
