"","Gene","Rate01","Rate10","Eject","Decay","Rate01Mean","Rate10Mean","EjectMean","Rate01SD","Rate10SD","EjectSD","Rate01Median","Rate10Median","EjectMedian","Rate01MAD","Rate10MAD","EjectMAD","Model","Condition","Expression","Variance","ThirdMoment","BurstMean","BurstSD","BurstMedian","BurstMAD","HK","HK_new","HK_both","TF","Type"
"380","SERBP1",0.00276037874357969,0.00328366795452397,0.0661278130104525,0.00139299681189392,0.00280300929527486,0.00370225859245947,0.0684803802028757,0.000359765160917314,0.00336468809417401,0.0181918524230057,0.0027777216237716,0.00334175332072682,0.0665294927631727,0.000159769924149537,0.000457512152092074,0.00306486976797153,2,"HCTDMSOr1",43.353452685422,254.562027720907,873.451453060455,20.0297777672037,3.04025928330898,19.9105124341232,2.74118519557835,"yes","yes","yes","no","HK"
"381","SET",0.00166152656123996,0.0025295534247784,0.0487730538053661,0.000846586529459243,0.00169755666085892,0.00291946931608797,0.0512884956222216,0.000272657395532565,0.00257991159030792,0.0147645531749003,0.00167946305751877,0.00261212085062099,0.0494043614735925,9.41906693363382e-05,0.000386979855113808,0.0029125619792297,2,"HCTDMSOr1",45.6668372569089,314.767712924387,1671.88567177967,18.9750262633257,2.78434306683496,18.914251566743,2.57524345508999,"yes","yes","yes","no","HK"
"382","SETD5",0.00738894516674385,0.0168094054631169,0.0232726853699332,0.00787663689046869,0.00719063812686639,0.029150448960439,0.0297113027996861,0.00241086918480031,0.066451015920048,0.0363769430875739,0.00704461856467195,0.0147779776918807,0.0219638602255484,0.0016415849301367,0.0081878532991769,0.00539098375081264,2,"HCTDMSOr1",1.80436991869919,2.70613944039593,4.6957954462452,1.86558516990856,1.51758871681457,1.48957177762009,0.744672332144699,"yes","yes","yes","no","HK"
"383","SF1",0.00623190107150015,0.0135415513763496,0.0200897647355073,0.00250531516796997,0.00647973237133062,0.0316372333362853,0.0317405724460146,0.00153014819518602,0.0684864024017439,0.0441130972104799,0.00636233413507775,0.0145938341962401,0.0208334679476451,0.00107567430302445,0.00765744235650707,0.00567073979611538,2,"HCTDMSOr1",5.05394402035623,8.16502897396551,15.416393043665,1.58793009226633,0.713889147146637,1.42944720438023,0.60870910895726,"yes","yes","yes","no","HK"
"384","SF3A3",0.00139124929733529,0.000999693201039299,0.00336499091192144,0.00097325326192051,0.00191901119614711,0.00466477967636289,0.00521249032856331,0.000795088658320677,0.0135071969897155,0.00619228010449231,0.00176729907734899,0.00170087518440733,0.00384338428334979,0.000474481645135191,0.00095596700219813,0.000659005226322647,2,"HCTDMSOr1",4.0234096692112,5.68189473547903,7.53886682845989,2.83787666134718,2.28265818956346,2.26110199757781,1.4690983568381,"yes","yes","yes","no","HK"
"385","SF3B1",0.00238428844358382,0.00297067680201112,0.015873022958623,0.00130537674342806,0.00247107209060556,0.0035441215209138,0.0168114263556448,0.000361244640485684,0.00225313164686418,0.00355004453629053,0.00244311359696648,0.00317331283725927,0.0162470652871887,0.000233891941011437,0.000766255384044368,0.00141790407516268,2,"HCTDMSOr1",10.8270408163265,25.1175341003748,51.2743231245591,5.24951908725574,1.25815014172773,5.12102299881229,1.21149081813072,"yes","yes","yes","no","HK"
"386","SF3B2",0.00160010981206112,0.00253220904559211,0.0115507211659071,0.000694891679300986,0.00169438673309558,0.00357830226501484,0.0133179606649296,0.000258342398090791,0.00342921972920024,0.00557512563682782,0.00166757277614873,0.00287517544743504,0.0121878162470905,0.000163496618094053,0.00081836840280811,0.00151982366303882,2,"HCTDMSOr1",12.8720693170234,31.7558049941757,77.6061310355687,4.32941008026229,1.09368841781389,4.23924192789074,1.06317424617653,"yes","yes","yes","no","HK"
"387","SF3B5",0.00247861922045896,0.00303861458526958,0.0105408318776247,0.00094821533050777,0.00272646279425469,0.00641547526970969,0.0139427077019865,0.000588582879446194,0.0256936986946732,0.0243377584446471,0.00264755679546543,0.00365605851400183,0.0112806893506749,0.000369921827552745,0.00136438229860119,0.00164863041768045,2,"HCTDMSOr1",9.9877800407332,18.923475927178,34.4605365838159,3.2458160045608,1.19807249721149,3.08559141212336,1.12153688191979,"yes","yes","yes","no","HK"
"388","SH3GLB1",0.00705978436012759,0.0405544387846891,0.0232668874404524,0.00223733410435151,0.0060085330303051,0.0406433866160646,0.0227442994174761,0.00159866551672641,0.0749038989897606,0.0302069864052867,0.0060292133443147,0.0186817356591471,0.014032790050671,0.00113177189293116,0.0122796320924386,0.0055099375974761,2,"HCTDMSOr1",3.08379888268156,4.30735052532125,7.34977288891016,0.942725353796228,0.628519858228663,0.755761035460753,0.336012796137685,"yes","yes","yes","no","HK"
"389","SLIRP",0.00251678523125298,0.0066674856585938,0.0359254061186376,0.000860441004885587,0.00263025060323189,0.0112032005372403,0.0485516324323105,0.000331339224415054,0.0153772600244564,0.042436712879932,0.00259925010801052,0.00761760412465381,0.038724098901435,0.000211037528331802,0.00238532832817504,0.00700118816098358,2,"HCTDMSOr1",22.8825931597754,82.5691661188099,323.113780003161,5.14494768862125,1.09535332858047,5.08229867477523,1.07909117753987,"yes","yes","yes","no","HK"
